Date,Time,Priority,Classification,Description,Packet Type,Source IP, Source Port,
		Destination IP, Destination Port
05/30,19:09:10.917356,2,_Potentially_Bad_Traffic,_BAD-TRAFFIC_same_SRC/DST_,UDP,0.0.0.0,68,255.255.255.255,67
05/30,19:09:10.918155,2,_Potentially_Bad_Traffic,_BAD-TRAFFIC_same_SRC/DST_,UDP,0.0.0.0,68,255.255.255.255,67
05/30,19:09:28.472094,2,_Potentially_Bad_Traffic,_ET_DNS_DNS_Query_to_a_.tk_domain_-_Likely_Hostile_,UDP,192.168.88.10,1029,4.2.2.3,53
10/09,06:09:07.402294,1,_A_Network_Trojan_was_Detected,_ET_INFO_JAVA_-_Java_Archive_Download_By_Vulnerable_Client_,TCP,46.37.185.21,80,192.168.115.10,1046
06/18,12:13:57.405165,3,_Misc_activity,_ICMP_Destination_Unreachable_Communication_Administratively_Prohibited_,UDP,88.75.231.254,unspecified,192.168.18.10,unspecified
06/18,12:14:03.527223,3,_Misc_activity,_ICMP_Destination_Unreachable_Port_Unreachable_,UDP,79.116.99.247,unspecified,192.168.18.10,unspecified
01/11,17:44:44.913554,2,_Potentially_Bad_Traffic,_BAD-TRAFFIC_same_SRC/DST_,UDP,0.0.0.0,68,255.255.255.255,67
01/11,17:44:44.914403,2,_Potentially_Bad_Traffic,_BAD-TRAFFIC_same_SRC/DST_,UDP,0.0.0.0,68,255.255.255.255,67
01/11,17:45:03.787663,3,_Detection_of_a_Network_Scan,_SCAN_UPnP_service_discover_attempt_,UDP,192.168.30.10,1034,239.255.255.250,1900
01/11,17:45:06.813110,3,_Detection_of_a_Network_Scan,_SCAN_UPnP_service_discover_attempt_,UDP,192.168.30.10,1034,239.255.255.250,1900
01/11,17:45:06.778525,2,_Potentially_Bad_Traffic,_ET_INFO_DYNAMIC_DNS_HTTP_Request_to_a_*.ddns.name_Domain_,TCP,192.168.30.10,1037,178.208.90.42,80
01/11,17:45:06.780746,2,_Potentially_Bad_Traffic,_ET_INFO_DYNAMIC_DNS_HTTP_Request_to_a_*.ddns.name_Domain_,TCP,192.168.30.10,1038,178.208.90.42,80
01/11,17:45:07.269511,1,_Potential_Corporate_Privacy_Violation,_ET_POLICY_SSLv3_outbound_connection_from_client_vulnerable_to_POODLE_attack_,TCP,173.194.75.95,443,192.168.30.10,1042
01/11,17:45:07.269511,1,_Potential_Corporate_Privacy_Violation,_ET_POLICY_SSLv3_inbound_connection_to_server_vulnerable_to_POODLE_attack_,TCP,173.194.75.95,443,192.168.30.10,1042
01/11,17:45:07.183863,2,_Potentially_Bad_Traffic,_ET_INFO_DYNAMIC_DNS_HTTP_Request_to_a_*.ddns.name_Domain_,TCP,192.168.30.10,1037,178.208.90.42,80
01/11,17:45:07.413832,3,_Misc_activity,_ET_INFO_JAVA_-_ClassID_,TCP,178.208.75.222,80,192.168.30.10,1040
01/11,17:45:07.413832,2,_Potentially_Bad_Traffic,_ET_CURRENT_EVENTS_Blackhole_Java_applet_with_obfuscated_URL_Jan_21_2012_,TCP,178.208.75.222,80,192.168.30.10,1040
01/11,17:45:07.413832,2,_Potentially_Bad_Traffic,_ET_CURRENT_EVENTS_Blackhole_Java_applet_with_obfuscated_URL_Dec_03_2012_,TCP,178.208.75.222,80,192.168.30.10,1040
01/11,17:45:10.032547,3,_Detection_of_a_Network_Scan,_SCAN_UPnP_service_discover_attempt_,UDP,192.168.30.10,1034,239.255.255.250,1900
01/11,17:45:48.285370,2,_Potentially_Bad_Traffic,_ET_INFO_DYNAMIC_DNS_HTTP_Request_to_a_*.ddns.name_Domain_,TCP,192.168.30.10,1038,178.208.90.42,80
01/11,17:45:48.482059,2,_Potentially_Bad_Traffic,_ET_POLICY_Vulnerable_Java_Version_1.6.x_Detected_,TCP,192.168.30.10,1049,178.208.75.222,80
01/11,17:45:48.482059,2,_Potentially_Bad_Traffic,_ET_CURRENT_EVENTS_SUSPICIOUS_Java_Request_to_ChangeIP_Dynamic_DNS_Domain_,TCP,192.168.30.10,1049,178.208.75.222,80
01/11,17:45:48.482059,1,_A_Network_Trojan_was_Detected,_ET_CURRENT_EVENTS_Possible_Blackhole_EK_Jar_Download_URI_Struct_,TCP,192.168.30.10,1049,178.208.75.222,80
01/11,17:45:48.611699,2,_Potentially_Bad_Traffic,_ET_INFO_JAR_Size_Under_30K_Size_-_Potentially_Hostile_,TCP,178.208.75.222,80,192.168.30.10,1049
01/11,17:45:48.611699,2,_Potentially_Bad_Traffic,_ET_INFO_Java_File_Sent_With_X-Powered_By_HTTP_Header_-_Common_In_Exploit_Kits_,TCP,178.208.75.222,80,192.168.30.10,1049
